coverage_scope,public_geography_id,bridge_municipality,population_municipality,population_value,population_match,coverage_status
bridge_safe_2025_geography,46029,Lokeren,Lokeren,50606,true,matched_population_source
bridge_safe_2025_geography,46030,Beveren-Kruibeke-Zwijndrecht,Beveren-Kruibeke-Zwijndrecht,87927,true,matched_population_source
bridge_safe_2025_geography,51004,Ath,Ath,30123,true,matched_population_source
bridge_safe_2025_geography,51008,Beloeil,Beloeil,14232,true,matched_population_source
bridge_safe_2025_geography,51009,Bernissart,Bernissart,11894,true,matched_population_source
bridge_safe_2025_geography,51012,Brugelette,Brugelette,3878,true,matched_population_source
bridge_safe_2025_geography,51014,Chievres,Chièvres,7145,true,matched_population_source
bridge_safe_2025_geography,51017,Ellezelles,Ellezelles,5948,true,matched_population_source
bridge_safe_2025_geography,51019,Flobecq,Flobecq,3441,true,matched_population_source
bridge_safe_2025_geography,51065,Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,12256,true,matched_population_source
bridge_safe_2025_geography,51067,Enghien,Enghien,14567,true,matched_population_source
bridge_safe_2025_geography,51068,Silly,Silly,8422,true,matched_population_source
bridge_safe_2025_geography,51069,Lessines,Lessines,18853,true,matched_population_source
bridge_safe_2025_geography,52010,Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,15030,true,matched_population_source
bridge_safe_2025_geography,52011,Charleroi,Charleroi,205763,true,matched_population_source
bridge_safe_2025_geography,52012,Chatelet,Châtelet,35979,true,matched_population_source
bridge_safe_2025_geography,52015,Courcelles,Courcelles,31436,true,matched_population_source
bridge_safe_2025_geography,52018,Farciennes,Farciennes,11471,true,matched_population_source
bridge_safe_2025_geography,52021,Fleurus,Fleurus,22922,true,matched_population_source
bridge_safe_2025_geography,52022,Fontaine-l'Eveque,Fontaine-l’Evêque,17985,true,matched_population_source
bridge_safe_2025_geography,52025,Gerpinnes,Gerpinnes,12900,true,matched_population_source
bridge_safe_2025_geography,52048,Montigny-le-Tilleul,Montigny-le-Tilleul,10170,true,matched_population_source
bridge_safe_2025_geography,52055,Pont-a-Celles,Pont-à-Celles,17662,true,matched_population_source
bridge_safe_2025_geography,52074,Aiseau-Presles,Aiseau-Presles,10956,true,matched_population_source
bridge_safe_2025_geography,52075,Les Bons Villers,Les Bons Villers,9705,true,matched_population_source
bridge_safe_2025_geography,53014,Boussu,Boussu,20401,true,matched_population_source
bridge_safe_2025_geography,53020,Dour,Dour,16559,true,matched_population_source
bridge_safe_2025_geography,53028,Frameries,Frameries,21630,true,matched_population_source
bridge_safe_2025_geography,53039,Hensies,Hensies,6776,true,matched_population_source
