factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
age65,bridge_safe_2025_geography,42026,Wichelen,Wichelen,22.101717,true,matched_factor_source
age65,bridge_safe_2025_geography,42028,Zele,Zele,20.771761,true,matched_factor_source
age65,bridge_safe_2025_geography,43002,Assenede,Assenede,23.690688,true,matched_factor_source
age65,bridge_safe_2025_geography,43005,Eeklo,Eeklo,23.359958,true,matched_factor_source
age65,bridge_safe_2025_geography,43007,Kaprijke,Kaprijke,23.502235,true,matched_factor_source
age65,bridge_safe_2025_geography,43010,Maldegem,Maldegem,23.388294,true,matched_factor_source
age65,bridge_safe_2025_geography,43014,Sint-Laureins,Sint-Laureins,24.304267,true,matched_factor_source
age65,bridge_safe_2025_geography,43018,Zelzate,Zelzate,20.451073,true,matched_factor_source
age65,bridge_safe_2025_geography,44013,Destelbergen,Destelbergen,24.465484,true,matched_factor_source
age65,bridge_safe_2025_geography,44019,Evergem,Evergem,22.42648,true,matched_factor_source
age65,bridge_safe_2025_geography,44020,Gavere,Gavere,22.892015,true,matched_factor_source
age65,bridge_safe_2025_geography,44021,Gent,Gand,16.714591,true,matched_factor_source
age65,bridge_safe_2025_geography,44052,Oosterzele,Oosterzele,21.583039,true,matched_factor_source
age65,bridge_safe_2025_geography,44064,Sint-Martens-Latem,Sint-Martens-Latem,29.385804,true,matched_factor_source
age65,bridge_safe_2025_geography,44081,Zulte,Zulte,20.098401,true,matched_factor_source
age65,bridge_safe_2025_geography,44083,Deinze,Deinze,22.692971,true,matched_factor_source
age65,bridge_safe_2025_geography,44084,Aalter,Aalter,23.816221,true,matched_factor_source
age65,bridge_safe_2025_geography,44085,Lievegem,Lievegem,24.896371,true,matched_factor_source
age65,bridge_safe_2025_geography,44086,Nazareth-De Pinte,Nazareth-De Pinte,24.228833,true,matched_factor_source
age65,bridge_safe_2025_geography,44087,Lochristi,Lochristi,23.520108,true,matched_factor_source
age65,bridge_safe_2025_geography,44088,Merelbeke-Melle,Merelbeke-Melle,21.706702,true,matched_factor_source
age65,bridge_safe_2025_geography,45035,Oudenaarde,Audenarde,22.899864,true,matched_factor_source
age65,bridge_safe_2025_geography,45041,Ronse,Renaix,19.977642,true,matched_factor_source
age65,bridge_safe_2025_geography,45059,Brakel,Brakel,23.996308,true,matched_factor_source
age65,bridge_safe_2025_geography,45060,Kluisbergen,Kluisbergen,20.982851,true,matched_factor_source
age65,bridge_safe_2025_geography,45061,Wortegem-Petegem,Wortegem-Petegem,21.874045,true,matched_factor_source
age65,bridge_safe_2025_geography,45062,Horebeke,Horebeke,27.475248,true,matched_factor_source
age65,bridge_safe_2025_geography,45063,Lierde,Lierde,23.677326,true,matched_factor_source
age65,bridge_safe_2025_geography,45064,Maarkedal,Maarkedal,25.202735,true,matched_factor_source
age65,bridge_safe_2025_geography,45065,Zwalm,Zwalin,22.331025,true,matched_factor_source
age65,bridge_safe_2025_geography,45068,Kruisem,Kruisem,21.515435,true,matched_factor_source
age65,bridge_safe_2025_geography,46020,Sint-Gillis-Waas,Sint-Gillis-Waas,21.867601,true,matched_factor_source
age65,bridge_safe_2025_geography,46021,Sint-Niklaas,Sint-Niklaas,20.019185,true,matched_factor_source
age65,bridge_safe_2025_geography,46024,Stekene,Stekene,22.941619,true,matched_factor_source
age65,bridge_safe_2025_geography,46025,Temse,Tamise,20.57899,true,matched_factor_source
age65,bridge_safe_2025_geography,46029,Lokeren,Lokeren,20.35287,true,matched_factor_source
age65,bridge_safe_2025_geography,46030,Beveren-Kruibeke-Zwijndrecht,Beveren-Kruibeke-Zwijndrecht,22.619533,true,matched_factor_source
age65,bridge_safe_2025_geography,51004,Ath,Ath,22.42765,true,matched_factor_source
age65,bridge_safe_2025_geography,51008,Beloeil,Beloeil,19.113651,true,matched_factor_source
