factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
population_density,bridge_safe_2025_geography,32010,Koekelare,Koekelare,223.153,true,matched_factor_source
population_density,bridge_safe_2025_geography,32011,Kortemark,Kortemark,232.394,true,matched_factor_source
population_density,bridge_safe_2025_geography,32030,Lo-Reninge,Lo-Reninge,50.2073,true,matched_factor_source
population_density,bridge_safe_2025_geography,33011,Ieper,Ypres,270.7152,true,matched_factor_source
population_density,bridge_safe_2025_geography,33016,Mesen,Messines,297.8051,true,matched_factor_source
population_density,bridge_safe_2025_geography,33021,Poperinge,Poperinge,165.837,true,matched_factor_source
population_density,bridge_safe_2025_geography,33029,Wervik,Wervik,438.832,true,matched_factor_source
population_density,bridge_safe_2025_geography,33037,Zonnebeke,Zonnebeke,187.5239,true,matched_factor_source
population_density,bridge_safe_2025_geography,33039,Heuvelland,Heuvelland,84.6194,true,matched_factor_source
population_density,bridge_safe_2025_geography,33040,Langemark-Poelkapelle,Langemark-Poelkapelle,154.5663,true,matched_factor_source
population_density,bridge_safe_2025_geography,33041,Vleteren,Vleteren,92.8816,true,matched_factor_source
population_density,bridge_safe_2025_geography,34002,Anzegem,Anzegem,359.9709,true,matched_factor_source
population_density,bridge_safe_2025_geography,34003,Avelgem,Avelgem,472.4585,true,matched_factor_source
population_density,bridge_safe_2025_geography,34009,Deerlijk,Deerlijk,747.661,true,matched_factor_source
population_density,bridge_safe_2025_geography,34013,Harelbeke,Harelbeke,1031.0695,true,matched_factor_source
population_density,bridge_safe_2025_geography,34022,Kortrijk,Courtrai,1001.0325,true,matched_factor_source
population_density,bridge_safe_2025_geography,34023,Kuurne,Kuurne,1408.5946,true,matched_factor_source
population_density,bridge_safe_2025_geography,34025,Lendelede,Lendelede,440.8009,true,matched_factor_source
population_density,bridge_safe_2025_geography,34027,Menen,Menin,1042.8627,true,matched_factor_source
population_density,bridge_safe_2025_geography,34040,Waregem,Waregem,908.6803,true,matched_factor_source
population_density,bridge_safe_2025_geography,34041,Wevelgem,Wevelgem,816.0748,true,matched_factor_source
population_density,bridge_safe_2025_geography,34042,Zwevegem,Zwevegem,406.6998,true,matched_factor_source
population_density,bridge_safe_2025_geography,34043,Spiere-Helkijn,Espierres-Helchin,189.8292,true,matched_factor_source
population_density,bridge_safe_2025_geography,35002,Bredene,Bredene,1271.525,true,matched_factor_source
population_density,bridge_safe_2025_geography,35005,Gistel,Gistel,282.8419,true,matched_factor_source
population_density,bridge_safe_2025_geography,35006,Ichtegem,Ichtegem,319.409,true,matched_factor_source
population_density,bridge_safe_2025_geography,35011,Middelkerke,Middelkerke,253.5107,true,matched_factor_source
population_density,bridge_safe_2025_geography,35013,Oostende,Ostende,1764.799,true,matched_factor_source
population_density,bridge_safe_2025_geography,35014,Oudenburg,Oudenburg,287.3974,true,matched_factor_source
population_density,bridge_safe_2025_geography,35029,De Haan,De Haan,273.3125,true,matched_factor_source
population_density,bridge_safe_2025_geography,36006,Hooglede,Hooglede,270.5934,true,matched_factor_source
population_density,bridge_safe_2025_geography,36007,Ingelmunster,Ingelmunster,705.9806,true,matched_factor_source
population_density,bridge_safe_2025_geography,36008,Izegem,Izegem,1147.908,true,matched_factor_source
population_density,bridge_safe_2025_geography,36010,Ledegem,Ledegem,393.6418,true,matched_factor_source
population_density,bridge_safe_2025_geography,36011,Lichtervelde,Lichtervelde,360.7652,true,matched_factor_source
population_density,bridge_safe_2025_geography,36012,Moorslede,Moorslede,324.5378,true,matched_factor_source
population_density,bridge_safe_2025_geography,36015,Roeselare,Roulers,1107.4765,true,matched_factor_source
population_density,bridge_safe_2025_geography,36019,Staden,Staden,249.8195,true,matched_factor_source
population_density,bridge_safe_2025_geography,37002,Dentergem,Dentergem,332.4336,true,matched_factor_source
population_density,bridge_safe_2025_geography,37010,Oostrozebeke,Oostrozebeke,479.0235,true,matched_factor_source
population_density,bridge_safe_2025_geography,37011,Pittem,Pittem,200.9772,true,matched_factor_source
population_density,bridge_safe_2025_geography,37017,Wielsbeke,Wielsbeke,468.0083,true,matched_factor_source
population_density,bridge_safe_2025_geography,37020,Ardooie,Ardooie,272.4628,true,matched_factor_source
