election_year,public_geography_id,municipality,label_french,label_dutch,label_german,valid_votes,blank_votes,list_vote_sum,party_list_count,vote_sum_reconciles,special_bucket,duplicate_nis_code,audit_status
2024,32010,Koekelare,Koekelare,Koekelare,Koekelare,6066,388,6066,9,true,false,false,bridge_safe
2024,32011,Kortemark,Kortemark,Kortemark,Kortemark,8730,531,8730,9,true,false,false,bridge_safe
2024,32030,Lo-Reninge,Lo-Reninge,Lo-Reninge,Lo-Reninge,2155,91,2155,9,true,false,false,bridge_safe
2024,33011,Ieper,Ypres,Ieper,Ieper,23592,1308,23592,9,true,false,false,bridge_safe
2024,33016,Mesen,Mesen,Mesen,Mesen,585,76,585,9,true,false,false,bridge_safe
2024,33021,Poperinge,Poperinge,Poperinge,Poperinge,13506,808,13506,9,true,false,false,bridge_safe
2024,33029,Wervik,Wervik,Wervik,Wervik,11961,829,11961,9,true,false,false,bridge_safe
2024,33037,Zonnebeke,Zonnebeke,Zonnebeke,Zonnebeke,8782,481,8782,9,true,false,false,bridge_safe
2024,33039,Heuvelland,Heuvelland,Heuvelland,Heuvelland,5284,369,5284,9,true,false,false,bridge_safe
2024,33040,Langemark-Poelkapelle,Langemark-Poelkapelle,Langemark-Poelkapelle,Langemark-Poelkapelle,5539,269,5539,9,true,false,false,bridge_safe
2024,33041,Vleteren,Vleteren,Vleteren,Vleteren,2458,129,2458,9,true,false,false,bridge_safe
2024,34002,Anzegem,Anzegem,Anzegem,Anzegem,10737,444,10737,9,true,false,false,bridge_safe
2024,34003,Avelgem,Avelgem,Avelgem,Avelgem,6994,377,6994,9,true,false,false,bridge_safe
2024,34009,Deerlijk,Deerlijk,Deerlijk,Deerlijk,8863,412,8863,9,true,false,false,bridge_safe
2024,34013,Harelbeke,Harelbeke,Harelbeke,Harelbeke,19905,1080,19905,9,true,false,false,bridge_safe
2024,34022,Kortrijk,Courtrai,Kortrijk,Kortrijk,50698,1997,50698,9,true,false,false,bridge_safe
2024,34023,Kuurne,Kuurne,Kuurne,Kuurne,9474,429,9474,9,true,false,false,bridge_safe
2024,34025,Lendelede,Lendelede,Lendelede,Lendelede,4155,161,4155,9,true,false,false,bridge_safe
2024,34027,Menen,Menin,Menen,Menen,20022,1406,20022,9,true,false,false,bridge_safe
2024,34040,Waregem,Waregem,Waregem,Waregem,27240,1292,27240,9,true,false,false,bridge_safe
2024,34041,Wevelgem,Wevelgem,Wevelgem,Wevelgem,21854,1051,21854,9,true,false,false,bridge_safe
